abscond         偷偷离开
absolve         使无罪
accolade        赞同
accrete         逐渐增长
acme            定点，极点
acumen          不同寻常的洞察力和鉴别力
adjunct         附属物
adlib           即兴的
adventitious    偶然的
advert          引起注意
alacrity        反应迅速
alibi           托辞
allay           减轻
allure          间接提到
aloof           不合群的
ambrosial       特别美味的
amity           友好，亲善和睦关系
analgesic       镇痛剂
anathema        诅咒
ancillary       次要的
anemic          缺乏活力的
anesthetic      止痛剂
antediluvian    非常古老的，过时的
antic           滑稽可笑的
apathy          缺乏情感
apocalyptic     预言的，重要的，夸大的
apocryphal      假的
apoplectic      极度愤怒的
apostasy        放弃宗教信仰，变节
appreciable     可感知的，明显的
apprehension    忧虑，恐惧
archaic         过时的，久远的
argot           隐语，行话
asylum          收容所
augur           预言家
aver            声明
awash           被淹没的，泛滥的 
awning          雨篷，遮阳篷
backhanded      间接的，含沙射影的
balloon         迅速增加
banal           非原创的，陈腐的
barb            尖锐批评
bathetic        平凡的，陈腐的
bawdy           下流的，猥亵的
bedeck          装饰，点缀
belabor         喋喋不休，过渡说明
bellwether      领导者，带头人
blandishment    甜言蜜语
blase           厌倦享乐的,腻烦的
blatant         喧哗的
blazon          使知名 修饰，装扮
blight          枯萎,损害
blurt           突然说出
bluster         狂妄自大地说，大声吹嘘，喧闹
boggle          犹豫
bracing         令人振奋的
brash           鲁莽的
brassy          厚脸皮的
bravura         优秀演技
brazen          蛮横大胆的，厚颜无耻的
bristle         刚毛,发怒
broach          开启,提出讨论
bromide         陈词滥调
brook           容忍
budge           改变立场或态度
bungle          办糟，失败
cachet          同意，声望
cadge           乞求
cajole          哄骗
calibrate       精确测量
callow          不成熟的
canard          谣传，误传
canon           正教，真经
canvass         审查，游说
capitulate      投降
carouse         狂欢
carp            挑剔
categorical     没有例外的
caustic         腐蚀的
caveat          警告
chaff           开玩笑
charade         装模作样,猜字谜
chary           谨慎的
chasm           明显差异
check           阻止，一致
choleric        易怒的
chronic         经常发生的,习惯性的            
